timestamp,dataset,approach,algorithm,community_alg,runtime,k,modularity,spread_initial,spread_final,budget_per_community,seeds_initial,seeds_final
2025-09-01 10:28:15,facebook_combined.txt,baseline,CELFPP,None,81.733192,50,None,1,416,None,[2331],"[2331, 107, 1714, 2151, 2000, 2839, 484, 3042, 3667, 2214, 207, 2309, 2093, 176, 2420, 2104, 2329, 2201, 1280, 1289, 1644, 1628, 3922, 2430, 185, 2188, 2985, 1949, 2100, 1868, 2621, 3695, 2287, 3109, 1689, 3384, 3929, 1929, 2803, 3152, 2579, 2449, 787, 2407, 2069, 3120, 3831, 579, 2347, 1619]"
2025-09-01 10:28:17,facebook_combined.txt,community-aware,CELFPP,Louvain,1.435731,50,0.834871,213,56,None,"[0, 348, 107, 136]","[0, 252, 315, 65, 348, 376, 370, 419, 395, 107, 136]"

2025-09-01 10:33:00,wiki-Vote.txt,baseline,CELFPP,None,283.347141,50,None,506,608,None,[1549],"[1549, 5479, 7092, 4494, 4920, 6914, 2543, 3472, 432, 2353, 3508, 4355, 1971, 2272, 3006, 4866, 2619, 3452, 1065, 974, 5011, 626, 2290, 2996, 5240, 1799, 6660, 6488, 6432, 2989, 1783, 3443, 1621, 3033, 5829, 1798, 2662, 2181, 1460, 1230, 4667, 1409, 6455, 6993, 3258, 1360, 2764, 3005, 3119, 3380]"
2025-09-01 10:33:10,wiki-Vote.txt,community-aware,CELFPP,Louvain,9.392614,50,0.42868,576,553,None,"[11, 1166, 737, 1133]","[11, 922, 600, 769, 1836, 691, 1166, 988, 825, 465, 1042, 449, 737, 1374, 1098, 967, 1074, 580, 1133, 766, 1542, 1247, 1470, 582]"

2025-09-01 13:37:35,soc-sign-bitcoinotc.csv,baseline,CELFPP,None,13.639027,50,None,15,105,None,[35],"[35, 2125, 905, 1810, 1566, 1585, 4532, 4011, 204, 5037, 5207, 5738, 792, 1795, 550, 3988, 4405, 2315, 4778, 1612, 1656, 3616, 3627, 4682, 556, 4360, 620, 2570, 3185, 3451, 4197, 4320, 1832, 1646, 2584, 2716, 2877, 3254, 2281, 2516, 3324, 4756, 5441, 3879, 5582, 178, 3702, 3872, 4116, 4744]"
2025-09-01 13:37:36,soc-sign-bitcoinotc.csv,community-aware,CELFPP,Louvain,1.001941,50,-0.33498,31,82,None,"[545, 1, 3, 13, 17, 23, 280, 35, 328, 33]","[545, 115, 62, 96, 384, 1, 7, 198, 309, 480, 3, 13, 304, 303, 490, 17, 23, 280, 215, 169, 451, 527, 35, 371, 65, 79, 248, 328, 146, 33, 224]"

2025-09-01 13:50:05,soc-Epinions1.txt,baseline,PAGERANK,None,0.661268,50,None,2021,2124,None,[18],"[18, 763, 5232, 634, 645, 143, 71399, 4920, 5227, 790, 737, 44, 1835, 136, 1719, 3924, 1179, 4415, 7047, 4416, 118, 1621, 791, 1753, 637, 27, 1619, 128, 1516, 1720, 770, 780, 1059, 5224, 1, 1440, 2704, 40, 725, 77, 4969, 34, 28, 2512, 1669, 2239, 1398, 849, 751, 824]"
2025-09-01 13:50:16,soc-Epinions1.txt,community-aware,PAGERANK,Louvain,11.230317,50,0.44771,2096,53,None,"[60261, 60440, 70038, 63369, 70370, 64415, 71244, 65972, 67204, 71697, 71755, 71869, 71993, 72164, 72178, 75332, 72446, 75414, 72640, 72794, 72813, 72964, 75451, 75453, 73068, 75478, 73234, 75488, 75492, 73417, 75528, 75556, 75756, 75769, 74457, 75638, 74565, 75648, 74631, 75664, 74676, 74692, 74764, 74780, 74843, 71749, 75701, 74984, 75040, 75872]","[60261, 60440, 70038, 63369, 70370, 64415, 71244, 65972, 67204, 71697, 71755, 71869, 71993, 72164, 72178, 75332, 72446, 75414, 72640, 72794, 72813, 72964, 75451, 75453, 73068, 75478, 73234, 75488, 75492, 73417, 75528, 75556, 75756, 75769, 74457, 75638, 74565, 75648, 74631, 75664, 74676, 74692, 74764, 74780, 74843, 71749, 75701, 74984, 75040, 75872]"

2025-09-02 05:44:46,facebook_combined.txt,baseline,CELFPP,None,84.726551,50,None,1,416,None,[2331],"[2331, 107, 1714, 2151, 2000, 2839, 484, 3042, 3667, 2214, 207, 2309, 2093, 176, 2420, 2104, 2329, 2201, 1280, 1289, 1644, 1628, 3922, 2430, 185, 2188, 2985, 1949, 2100, 1868, 2621, 3695, 2287, 3109, 1689, 3384, 3929, 1929, 2803, 3152, 2579, 2449, 787, 2407, 2069, 3120, 3831, 579, 2347, 1619]"
2025-09-02 05:44:48,facebook_combined.txt,community-aware,CELFPP,Louvain,1.525517,50,0.834965,175,82,None,"[0, 348, 107, 136]","[0, 252, 315, 65, 348, 353, 366, 402, 397, 107, 136]"

2025-09-02 10:37:04,facebook_combined.txt,baseline,CELFPP,None,84.184736,50,None,1,416,None,[2331],"[2331, 107, 1714, 2151, 2000, 2839, 484, 3042, 3667, 2214, 207, 2309, 2093, 176, 2420, 2104, 2329, 2201, 1280, 1289, 1644, 1628, 3922, 2430, 185, 2188, 2985, 1949, 2100, 1868, 2621, 3695, 2287, 3109, 1689, 3384, 3929, 1929, 2803, 3152, 2579, 2449, 787, 2407, 2069, 3120, 3831, 579, 2347, 1619]"
2025-09-02 10:37:06,facebook_combined.txt,community-aware,CELFPP,Louvain,1.540304,50,0.834941,130,120,None,"[0, 348, 107, 136]","[0, 188, 322, 98, 348, 373, 353, 391, 403, 107, 136]"
